mfr,model,year,trim,bdy_style,hp,hp_rpm,trq,trq_rpm,mpg_c,mpg_h,drivetrain,trsmn,ctry_origin,msrp
Ford,GT,2017,Base Coupe,coupe,647.0,6250.0,550.0,5900.0,11.0,18.0,rwd,7a,United States,447000.0
Ferrari,458 Speciale,2015,Base Coupe,coupe,597.0,9000.0,398.0,6000.0,13.0,17.0,rwd,7a,Italy,291744.0
Ferrari,458 Spider,2015,Base,convertible,562.0,9000.0,398.0,6000.0,13.0,17.0,rwd,7a,Italy,263553.0
Ferrari,458 Italia,2014,Base Coupe,coupe,562.0,9000.0,398.0,6000.0,13.0,17.0,rwd,7a,Italy,233509.0
Ferrari,488 GTB,2016,Base Coupe,coupe,661.0,8000.0,561.0,3000.0,15.0,22.0,rwd,7a,Italy,245400.0
Ferrari,California,2015,Base Convertible,convertible,553.0,7500.0,557.0,4750.0,16.0,23.0,rwd,7a,Italy,198973.0
Ferrari,GTC4Lusso,2017,Base Coupe,coupe,680.0,8250.0,514.0,5750.0,12.0,17.0,awd,7a,Italy,298000.0
Ferrari,FF,2015,Base Coupe,coupe,652.0,8000.0,504.0,6000.0,11.0,16.0,awd,7a,Italy,295000.0
Ferrari,F12Berlinetta,2015,Base Coupe,coupe,731.0,8250.0,509.0,6000.0,11.0,16.0,rwd,7a,Italy,319995.0
Ferrari,LaFerrari,2015,Base Coupe,coupe,949.0,9000.0,664.0,6750.0,12.0,16.0,rwd,7a,Italy,1416362.0
Acura,NSX,2017,Base Coupe,coupe,573.0,6500.0,476.0,2000.0,21.0,22.0,awd,9a,Japan,156000.0
Nissan,GT-R,2016,Premium Coupe,coupe,545.0,6400.0,436.0,3200.0,16.0,22.0,awd,6a,Japan,101770.0
Lamborghini,Aventador,2015,LP 700-4 Coupe,coupe,700.0,8250.0,507.0,5500.0,11.0,18.0,awd,7a,Italy,397500.0
Lamborghini,Huracan,2015,LP 610-4 Coupe,coupe,610.0,8250.0,413.0,6500.0,16.0,20.0,rwd,7a,Italy,237250.0
Lamborghini,Gallardo,2014,LP 550-2 Coupe,coupe,550.0,8000.0,398.0,6500.0,12.0,20.0,rwd,6a,Italy,191900.0
Bentley,Continental GT,2016,V8 Coupe,coupe,500.0,6000.0,487.0,1700.0,15.0,25.0,awd,8am,United Kingdom,198500.0
Maserati,Granturismo,2016,Sport Coupe,coupe,454.0,7600.0,384.0,4750.0,13.0,21.0,rwd,6am,Italy,132825.0
Maserati,Quattroporte,2016,S Sedan,sedan,404.0,5500.0,406.0,1500.0,16.0,23.0,rwd,8am,Italy,99900.0
Maserati,Ghibli,2016,Base Sedan,sedan,345.0,5250.0,369.0,1750.0,17.0,24.0,rwd,8am,Italy,70600.0
